corruption_type,severity,rmse_loss,mae_loss,R2,r,model_dist
gaussian_noise,5,36.902676461971566,31.394217332841173,-2.556561739380487,-0.05580291789316778,0.0
shot_noise,5,25.624047407196628,19.392566178021514,-0.7147865923665391,0.36269239126221786,0.0
impulse_noise,5,43.30063450254671,38.626924699430496,-3.8966959863791706,0.06491619897606825,0.0
defocus_blur,5,19.796733893595384,14.035499828622653,-0.023532675185382823,0.5570103434047171,0.0
motion_blur,5,12.465406148757882,7.967780234918793,0.5941855683367075,0.8253652418905254,0.0
zoom_blur,5,11.558612429851712,7.561184184507488,0.6510798710510405,0.8273766592122402,0.0
snow,5,21.304759958241625,16.210362397173594,-0.18540815756117635,0.4562466705512657,0.0
fog,5,17.179809524694623,13.062811445370174,0.22918295475290817,0.6603395049594277,0.0
brightness,5,16.798897687342706,12.868294037386628,0.2629852305804198,0.6212794700571607,0.0
contrast,5,12.143619897646637,8.017114664627716,0.6148668062633029,0.7975221360558185,0.0
elastic_transform,5,9.783125357642161,6.853106543978064,0.7500403788229145,0.8675465342488332,0.0
pixelate,5,34.45817844884192,28.869852088167054,-2.1009820503893,0.03166429357436564,0.0
jpeg_compression,5,21.347600532916385,15.668045375448218,-0.19018029540641068,0.4566615091801904,0.0
